strain	country
Wuhan/IVDC-HB-01/2019	China
Wuhan/IVDC-HB-04/2020	China
Wuhan/IVDC-HB-05/2019	China
Wuhan/IPBCAMS-WH-01/2019	China
Wuhan/WIV04/2019	China
Wuhan-Hu-1/2019	China
Wuhan/WIV02/2019	China
Wuhan/WIV05/2019	China
Wuhan/WIV06/2019	China
Wuhan/WIV07/2019	China
bat/Yunnan/RaTG13/2013	China
Wuhan/HBCDC-HB-01/2019	China
Wuhan/IPBCAMS-WH-05/2020	China
Wuhan/IPBCAMS-WH-04/2019	China
Wuhan/IPBCAMS-WH-03/2019	China
Wuhan/IPBCAMS-WH-02/2019	China
Guangdong/20SF012/2020	China
Guangdong/20SF013/2020	China
Guangdong/20SF014/2020	China
Guangdong/20SF025/2020	China
Guangdong/20SF028/2020	China
Guangdong/20SF040/2020	China
Nonthaburi/61/2020	Thailand
Nonthaburi/74/2020	Thailand
Zhejiang/WZ-01/2020	China
Zhejiang/WZ-02/2020	China
USA/IL1/2020	USA
USA/WA1/2020	USA
Shenzhen/HKU-SZ-005/2020	China
Shenzhen/HKU-SZ-002/2020	China
Taiwan/2/2020	Taiwan
USA/CA1/2020	USA
USA/CA2/2020	USA
USA/AZ1/2020	USA
Guangdong/20SF174/2020	China
Guangzhou/20SF206/2020	China
Foshan/20SF207/2020	China
Foshan/20SF210/2020	China
Foshan/20SF211/2020	China
Guangdong/20SF201/2020	China
Shenzhen/SZTH-001/2020	China
Shenzhen/SZTH-002/2020	China
Shenzhen/SZTH-003/2020	China
Shenzhen/SZTH-004/2020	China
France/IDF0372/2020	France
France/IDF0373/2020	France
China/WHU01/2020	China
China/WHU02/2020	China
Wuhan/WH01/2019	China
Wuhan/WH02/2019	China
Wuhan/WH03/2020	China
Wuhan/WH04/2020	China
Australia/VIC01/2020	Australia
Germany/BavPat1/2020	Germany
Hangzhou/HZ-1/2020	China
Singapore/1/2020	Singapore
England/01/2020	England
England/02/2020	England
Finland/1/2020	Finland
Japan/AI/I-004/2020	Japan
South_Korea/KCDC03/2020	South Korea
USA/WA1-A12/2020	USA
USA/WA1-F6/2020	USA
Hangzhou/HZCDC0001/2020	China
Australia/NSW01/2020	Australia
Australia/QLD01/2020	Australia
Australia/QLD02/2020	Australia
Belgium/GHB-03021/2020	Belgium
Singapore/2/2020	Singapore
Singapore/3/2020	Singapore
USA/CA3/2020	USA
USA/CA4/2020	USA
USA/CA5/2020	USA
France/IDF0515/2020	France
France/IDF0626/2020	France
Chongqing/YC01/2020	China
Chongqing/ZX01/2020	China
Yunnan/IVDC-YN-003/2020	China
Chongqing/IVDC-CQ-001/2020	China
Shandong/IVDC-SD-001/2020	China
Shanghai/IVDC-SH-001/2020	China
Sichuan/IVDC-SC-001/2020	China
Beijing/IVDC-BJ-005/2020	China
Jiangxi/IVDC-JX-002/2020	China
Henan/IVDC-HeN-002/2020	China
Jiangsu/IVDC-JS-001/2020	China
Taiwan/NTU01/2020	Taiwan
Wuhan/IVDC-HB-envF13-20/2020	China
Wuhan/IVDC-HB-envF13-21/2020	China
Japan/TY-WK-012/2020	Japan
Japan/TY-WK-501/2020	Japan
Japan/TY-WK-521/2020	Japan
Vietnam/VR03-38142/2020	Vietnam
Japan/KY-V-029/2020	Japan
USA/WI1/2020	USA
Sydney/2/2020	Australia
Sydney/3/2020	Australia
Wuhan/WH05/2020	China
USA/MA1/2020	USA
USA/CA6/2020	USA
USA/IL2/2020	USA
Taiwan/NTU02/2020	Taiwan
Nepal/61/2020	Nepal
France/RA739/2020	France
Japan/NA-20-05-1/2020	Japan
Japan/OS-20-07-1/2020	Japan
Singapore/4/2020	Singapore
Singapore/5/2020	Singapore
Singapore/6/2020	Singapore
Italy/INMI1-isl/2020	Italy
Italy/INMI1-cs/2020	Italy
Singapore/7/2020	Singapore
Singapore/8/2020	Singapore
Singapore/9/2020	Singapore
Singapore/10/2020	Singapore
Australia/QLD03/2020	Australia
Australia/QLD04/2020	Australia
Singapore/11/2020	Singapore
France/IDF0372-isl/2020	France
France/IDF0515-isl/2020	France
Fujian/8/2020	China
Fujian/13/2020	China
France/IDF0571/2020	France
France/IDF0386-islP1/2020	France
France/IDF0386-islP3/2020	France
Cambodia/0012/2020	Cambodia
Taiwan/CGMH-CGU-01/2020	Taiwan
Taiwan/3/2020	Taiwan
Taiwan/4/2020	Taiwan
South_Korea/SNU01/2020	South Korea
Jiangsu/JS01/2020	China
Sweden/01/2020	Sweden
Jiangsu/JS02/2020	China
Jiangsu/JS03/2020	China
USA/CA7/2020	USA
USA/CA8/2020	USA
USA/TX1/2020	USA
China/WH-09/2020	China
Hefei/2/2020	China
Hong_Kong/VM20001061/2020	Hong Kong
Hong_Kong/VM20001988/2020	Hong Kong
Hong_Kong/VB20026565/2020	Hong Kong
England/09c/2020	England
Jingzhou/HBCDC-HB-01/2020	China
USA/CA9/2020	USA
Korea/KCDC05/2020	South Korea
Korea/KCDC06/2020	South Korea
Korea/KCDC07/2020	South Korea
Korea/KCDC12/2020	South Korea
Korea/KCDC24/2020	South Korea
Wuhan/HBCDC-HB-02/2019	China
Wuhan/HBCDC-HB-03/2019	China
Wuhan/HBCDC-HB-04/2019	China
Germany/Baden-Wuerttemberg-1/2020	Germany
Brazil/SPBR-01/2020	Brazil
SARS-CoV-2/Yunnan-01/human/2020/CHN	China
Wuhan-Hu-1	China
Wuhan/WH19002/2019	China
Wuhan/WH19008/2019	China
Wuhan/YS8011/2020	China
Wuhan/WH19001/2019	China
Wuhan/WH19004/2020	China
Wuhan/WH19005/2019	China
